speaker,words,tags,timestamp
Maria,"And was it for, it was that also exclusively exclusively for the Italian community? Or it was, it was open to all the group?",,[19:05]
Helen,"--the whole community. The whole community, yes. There were weddings there. In fact, my one sister was the last one to get married there. She got married in June of '56 and then they closed it and actually tore it down in about, uh, '58.",,[19:12]
Helen,"Right, yeah. So, it was just a one -- and they had live turkeys when they had the turkey thing. It was live. So you took home a live turkey in a bag and then you had to kill it and have it for Thanksgiving.",,[19:28]
Maria,"But your mom and dad, tha-, they did that all the time with their chickens.",,[19:45]
Helen,"And everybody else in town, too, did the same thing. I mean, every-, you know, all of the Italians had their own gardens and, and everything. So, it was, it was just a wonderful community to live in.",,[19:49]
Maria,"And do you recall about in terms of language? Do you remember anyone in your home speaking Italian or speaking a dialect? Or were they, it was everyone pretty much always speaking English?",language,[20:03]
Helen,"No. They spoke Italian. A lot, a lot of the women came to United States later than my dad did. Or their husbands would be working at Warner Company for one or two years, and then bring them to America. So, some of the women in town never really knew how to speak English. In fact, one of my best girlfriends, from there, her mother, to the day she died, I could not understand a complete sentence that she would say to me. And different parts of Italy, as you know, talk different language.",,[20:16]
Maria,Right.,,[20:57]
Helen,"So, they would tease each other, the men, you know, like you're talking, I don't know your language. You don't talk Italian. Of course, they were saying it in Italian. But none of the kids learned to speak Italian. Because especially in our house, my father wanted you to be an American. That's why he came. He wanted you to have a better life. With eh, he wanted his kids, if he had kids, to have a better life, he thought. So we were never taught Italian. Um, nut on Sundays, when my mother's family would come and they would all sit around and they talked complete Italian so that we knew nothing, and it was, it was always fun because we would all try to, ""What are they saying? Let's try and figure out what they're saying."" But that, it was, yeah, so they all used two languages. And then, and then you had the Germans that were there that spoke their language. The Polish had a little language. So it was, it was a well-molded family area. All the, all the men worked at the same place. And the women all stayed home. And then during the War, World War II, the women, my mother included, she got a job at a -. It was called Bishops and they were making stuff for the service. I forget what they were making now, but they made stuff. And the women worked night shifts.",,[20:58]
Maria,Right. Wow.,,[22:32]
Helen,"And then, come home and then do their day, day work as a wife and mother.",,[22:32]
Maria,"In fact, you mentioned that your dad got news of his father's passing in 1943.",,[22:38]
Helen,Yes.,,[22:48]
Maria,"Which, which made me, you know, think of the period of World War II. Do you, do you remember, did you perceive what your dad's feelings were about the war? Because at that point, the United States was at war against Italy.",memory,[22:48]
Helen,"Right. Well, first of all, my mother only -- let me throw this out. My mother only went to third grade. And then she had to quit school to work for her father and mother. And my father came from Italy when he was 17. So he learned English and American reading. That's what he was trying to learn. And I, I don't remember this, but my brother who's closest to me remembered and he told me about this. When dad got his letter, my father couldn't read the letter. It was written all in Italian. And he went next door and the man next door read it to him that his father had died. And it was, it was just, I mean, my father was very tight with his family, but his family wasn't his family. Italy was not his family anymore. And my father was a very soft-hearted person. He cried. He cried at everything. He was very sentimental. Whenever the girls got married, he cried. Before we even got to the church, he was crying. And it wasn't like we were going anyplace. My husband and I lived with them for two years after we got married. But, um, my father was just -- and that's true with a lot of Italian men, which people don't realize. They are very, um, easy-hearted for their family and their wives and children and, um, tears come easy to them. But that's a side that you don't hear or see.",,[23:07]
Maria,"In the stereo-, in the stereotypes that we get in movies and TV,-- 		HL>> Right.",,[25:06]
Maria,"--they don't show that aspect. Yeah, yeah.",,[25:11]
Helen,"Right. And they're short. Italian men are usually short. They're, they're not over -- I don't know any of them that we're related to that were over, nobody was 6 feet.",,[25:14]
Maria,"Right, right.",,[25:27]
Helen,Nobody.,,[25:28]
Maria,"The same in my family as well with the men, yeah. Not, not very tall.",,[25:29]
Helen,Yes.,,[25:34]
Maria,"So Helen, then, when was it -- so, so you grew up in this area near Valley Forge, you said. Then you were in North Carolina?",,[25:35]
Helen,North Dakota.,,[25:46]
Maria,"North Dakota, I'm sorry.",,[25:48]
Helen,Big difference.,,[25:50]
Maria,Yes.,,[25:50]
Helen,"Big difference. Excuse me. It just reminded me of something. There, it's all Norwegian and Swedes in North Dakota. That's the nationality is, period.",,[25:50]
Maria,Wow.,,[26:06]
Helen,"And we lived, we moved to -- the first place we moved to was Williston, North Dakota, which is in the northwest corner, almost in Montana, and almost in Canada. Everybody was blonde and light-skinned, okay. And my best friend there, that I'm still friends with today, she would introduce me as, ""This is Helen, my friend. She's Italian. And she just moved here from Pennsylvania."" I mean, I was like this, ""This -, oh, this is a joke."" And, it was just funny. I mean, that's how they identified me. I was, I was the only Italian in town.",,[26:07]
Maria,"You were ""the Italian.",,[26:57]
Helen,"I was the Italian. Italian, yeah.",,
Maria,"And did you feel then in that community, I mean, it sounds like you remember very clearly that you stood out for that reason. But did you feel any, um, negativity towards you because of that? Or was it more welcoming, or?",,[27:03]
Helen,"It was more interesting, um. A lot of them never really had real spaghetti or gravy that you -- well, we called it gravy, that's what we call it -- that you make from scratch. And, um, pizzelles, which we always made. My husband always makes them. So, the Italian food was entirely different to them. And they all started to love it, my f-, our friends and who we met, um, and they--",,[27:20]
Maria,"When you, when you cooked for them, they would love it?",,[27:57]
Helen,"Yes. And, um, I'd, I'd invite them up and we would have a dinner. And just, it was just wonderful. I mean, it was just that. In fact, one time, I mean I was with -- I always had dark hair, of course, and dark skin. And I always stood out then in North Dakota because of that. And I went to Minot, which is a big town. It's an, an army base is there also. It's a very big town. We, the government has a nice base there. But they had the Swedish festival every fall. And they came from Sweden and Norway to participate in this. And I went on a bus trip with a group of people. And I said to the girl sitting next to me, I said, ""You do realize that this is not the true United States in this state. Do you realize that?"" And she said, ""What do you mean?"" I said, ""Well, you don't have Italians, you don't have Mexicans, you don't have Black."" I mean, it was just white blonde women and men. And that was just such a joke. She said, ""Oh, I never thought of it like that."" She said, ""Well, when we get to Minot tonight, when the sailers, or the soldiers come in, you'll see all of that. They, they'll bring it up with them."" And that was their only exposure to Black, Mexican, Italians, German, all of that. It was, it was just a whole different life.",,[28:01]
Maria,"So yeah, because you grew up in such a diverse community and tight-knit community. So that was a huge difference.",,[29:42]
Helen,Yes.,,[29:50]
Maria,"So, Helen, how did you feel? So, when did you come to Bellefonte and what brought you here? And then maybe if you can also kind of compare Bellefonte to those previous two places that you had lived in.",,[29:50]
Helen,"Okay. We --. Our grandchildren, I don't know how, but they grew up. And we said -- And my, our daughter was living like two hours out of town on a ranch. So we weren't seeing her that frequently either. So, we decided it was time to move back to Pennsylvania because we were missing the family that was left. But my parents were gone, of course, and everything was brothers and sisters. So, we didn't want to go back to the King of Prussia area because it's just too busy for us down there, especially coming from North Dakota where, where you could walk down the street and you never had a car. So, we started looking t-, for where to go. And we couldn't find. We came in to, to Pennsylvania and looked at a few places, but we didn't see anything we liked. So we went back to North Dakota. And I was at work and I was talking to my friend who loved to play on the computer. And, and I said, ""You know, Lonnie used to like to go to Bellefonte with his grandparents when he was little. They went every summer. And he had gone to the Grange Fair when he was little. So he remembered that. In fact, he took me after we were married, and I wasn't as impressed, but anyway. So, my friend said, ""Well, let's see if we can find a place."" And she found this just starting, this development that we're in, OpeQuon Hill. And she says, ""Look at this. This is the new development going up in Bellefonte."" I said, ""Well, that would really be good."" So, that's how we found it. And then, our granddaughter was getting married in Pennsylvania. So, when we came back for her wedding in '07, we came and looked at these. And they, um, my husband liked it because it was close for him to go to camp. And we liked the quietness. It was sort of like North Dakota, a small community, uh, the town being small, um, walkable, you know, safe. So, that's where we ended up and we love it. We love it.",community,[30:11]
Maria,And that was 2007 is when you--,,[32:35]
Helen,"Seven, yeah.",,[32:42]
Maria,"And, um, when you came to Bellefonte, wh- like how did you establish a new sense of community? Because it sounds like, you know, certainly you had that built in in your childhood home with everybody coming in to get their haircut.",community,[32:43]
Maria,"You know, were there ways for you to establish a sense of community here?",,[32:58]
Helen,"Yes. Number one, of course, I'm Catholic and I joined Catholic Daughters, which is a great way to meet people. And I also became a volunteer at the Breast Center because I am an ovarian cancer survivor. And I wanted to be involved with the hospital, but I didn't want to work in the hospital and the Breast Center is in the building in front of the hospital. So, that worked out really well. I got to meet a lot of people there. And then I belong to an ovarian cancer group and we still do lunch. In fact, we just had lunch two weeks ago. And, um, um, our community here, our development, the people were all very friendly, and we have all different kinds and t-, shapes and ages and everything and we're twin, our houses are twins. So our neighbor next door, um, we're very close to. They lived in Bellefonte their whole life. So they have a lot of history. And, and, and as I say, my husband came here a lot when he was young, so he knows the fishing and all that. But, um, we loved it here. And we have, we have had more company here because it's easy for my nieces and nephews to come here, it's only two and a half, three-hour ride. And we have enough room where they can all stay. And, um, so we still feel the, the family, our attachment to our family. And my husband was an only child. So, it was a whole--","religion, community, family",[33:03]
Maria,Quite a difference.,,[34:54]
Helen,"It was a whole life for him and he just loved my life, our life. But he thought I had a great life.",,[34:54]
Maria,"Right, right. So Helen, in the time you've been here in, in Bellefonte and, and Centre County, um, have you experienced either yourself or, do y-, you know, have you witnessed any sort of what you would call racism in the community? You spoke a little bit about how in North Dakota, you were the Italian, you know, of-. Anything that you would, like in a negative sense, perceive is racism?","memory, immigration",[35:01]
